,route_or_line,date,gated_entries,temp,precip,preciptype,snow,traincnt,single_traincap,line_length_sec,tot_linecap,per_thirty_cap,supply_gap_simple,prev_supply_gap_simple,gated_entries_complex,supply_gap_complex
0,Blue Line,2022-01-01,12075.9,46.9,0.047,rain,0.0,3.1627906976744184,456,1200,1442.2325581395348,2235.460465116279,-84048.9,3147.1,15149.8,-80975.0
1,Blue Line,2022-01-02,12667.7,43.0,0.229,rain,0.0,4.318181818181818,456,1200,1969.090909090909,3052.090909090909,-121624.3,0.0,12667.7,-121624.3
2,Blue Line,2022-01-03,20020.9,26.9,0.0,snow,0.1,7.270833333333333,456,1200,3315.5,5139.025000000001,-226652.3,699.5,20720.4,-225952.8
3,Blue Line,2022-01-04,22065.4,24.0,0.0,,0.0,7.595744680851064,456,1200,3463.659574468085,5368.672340425532,-230262.19999999998,1508.3,23573.7,-228753.9
4,Blue Line,2022-01-05,22097.8,40.9,0.126,rain,0.0,7.239130434782608,456,1200,3301.0434782608695,5116.617391304348,-213266.6,0.0,22097.8,-213266.6
5,Blue Line,2022-01-06,23534.8,37.5,0.0,"rain,snow",0.2,7.680851063829787,456,1200,3502.468085106383,5428.825531914894,-231620.0,0.0,23534.8,-231620.0
6,Blue Line,2022-01-07,17046.0,29.7,0.419,"rain,snow",3.4,7.5,456,1200,3420.0,5301.0,-226800.0,0.0,17046.0,-226800.0
7,Blue Line,2022-01-08,15688.6,22.4,0.0,,0.0,5.065217391304348,456,1200,2309.7391304347825,3580.095652173913,-148995.8,0.0,15688.6,-148995.8
8,Blue Line,2022-01-09,12523.6,35.0,0.012,rain,0.0,4.297872340425532,456,1200,1959.8297872340424,3037.736170212766,-130250.0,0.0,12523.6,-130250.0
9,Blue Line,2022-01-10,21676.6,29.5,0.0,,0.0,7.0212765957446805,456,1200,3201.7021276595747,4962.63829787234,-211567.4,1501.8,23178.4,-210065.6
10,Blue Line,2022-01-11,17087.5,12.8,0.0,snow,0.0,7.688888888888889,456,1200,3506.133333333333,5434.506666666667,-227465.3,576.3,17663.8,-226889.0
11,Blue Line,2022-01-12,22635.9,27.8,0.0,,0.0,7.533333333333333,456,1200,3435.2,5324.56,-216969.3,1666.2,24302.1,-215303.1
12,Blue Line,2022-01-13,24743.1,36.4,0.0,,0.0,7.6,456,1200,3465.6,5371.68,-216982.5,2293.6,27036.7,-214688.9
13,Blue Line,2022-01-14,24531.5,34.5,0.0,,0.0,7.651162790697675,456,1200,3488.9302325581393,5407.841860465117,-208005.7,2033.1999999999998,26564.7,-205972.5
14,Blue Line,2022-01-15,13777.5,9.8,0.0,,0.0,5.111111111111111,456,1200,2330.6666666666665,3612.5333333333333,-148786.5,0.0,13777.5,-148786.5
