,route_or_line,date,gated_entries,temp,precip,preciptype,snow
0,Green Line,2022-01-01,13999.9,46.9,0.047,rain,0.0
1,Green Line,2022-01-02,14620.28,43.0,0.229,rain,0.0
2,Green Line,2022-01-03,20282.91,26.9,0.0,snow,0.1
3,Green Line,2022-01-04,22383.14,24.0,0.0,,0.0
4,Green Line,2022-01-05,22457.6,40.9,0.126,rain,0.0
5,Green Line,2022-01-06,23793.08,37.5,0.0,"rain,snow",0.2
6,Green Line,2022-01-07,16604.94,29.7,0.419,"rain,snow",3.4
7,Green Line,2022-01-08,20817.49,22.4,0.0,,0.0
8,Green Line,2022-01-09,14117.08,35.0,0.012,rain,0.0
9,Green Line,2022-01-10,23635.99,29.5,0.0,,0.0
10,Green Line,2022-01-11,18559.16,12.8,0.0,snow,0.0
11,Green Line,2022-01-12,23209.38,27.8,0.0,,0.0
12,Green Line,2022-01-13,24941.56,36.4,0.0,,0.0
13,Green Line,2022-01-14,26817.98,34.5,0.0,,0.0
14,Green Line,2022-01-15,21818.64,9.8,0.0,,0.0
15,Green Line,2022-01-16,19116.15,16.6,0.0,,0.0
16,Green Line,2022-01-17,20202.16,40.3,0.744,rain,0.0
17,Green Line,2022-01-18,28481.49,28.3,0.0,,0.0
18,Green Line,2022-01-19,28851.35,33.6,0.0,,0.0
19,Green Line,2022-01-20,28266.02,33.9,0.15,rain,0.2
20,Green Line,2022-01-21,28324.83,16.1,0.0,,0.0
21,Green Line,2022-01-22,23853.6,19.0,0.0,,0.0
22,Green Line,2022-01-23,16701.0,27.3,0.0,,0.0
23,Green Line,2022-01-24,24311.61,27.1,0.011,snow,0.0
24,Green Line,2022-01-25,28260.3,33.3,0.061,"rain,snow",0.2
25,Green Line,2022-01-26,26266.0,21.6,0.0,,0.0
26,Green Line,2022-01-27,29537.0,18.0,0.0,,0.0
27,Green Line,2022-01-28,33020.61,30.6,0.0,,0.0
28,Green Line,2022-01-29,5186.21,19.2,0.454,"rain,snow",0.9
29,Green Line,2022-01-30,20014.6,16.6,0.0,snow,0.2
30,Green Line,2022-01-31,31460.87,21.8,0.0,,0.0
31,Green Line,2022-02-01,33086.33,27.4,0.0,,0.0
32,Green Line,2022-02-02,33506.08,35.8,0.0,,0.0
33,Green Line,2022-02-03,32968.25,40.3,0.118,rain,0.0
34,Green Line,2022-02-04,28747.69,30.9,1.696,"rain,snow",0.0
35,Green Line,2022-02-05,32440.73,21.3,0.145,snow,0.0
36,Green Line,2022-02-06,20736.89,19.1,0.0,,0.0
37,Green Line,2022-02-07,31762.82,31.8,0.273,"rain,snow",0.0
38,Green Line,2022-02-08,33486.01,38.1,0.624,rain,0.0
39,Green Line,2022-02-09,34355.56,35.2,0.0,,0.0
40,Green Line,2022-02-10,35892.29,40.1,0.0,,0.0
41,Green Line,2022-02-11,39467.32,41.4,0.0,,0.0
42,Green Line,2022-02-12,38469.63,49.8,0.0,,0.0
43,Green Line,2022-02-13,23095.77,29.8,0.22,"rain,snow",0.4
44,Green Line,2022-02-14,35304.98,19.6,0.023,snow,0.8
