,route_or_line,date,gated_entries,temp,precip,preciptype,snow,traincnt,single_traincap,line_length_sec,tot_linecap,per_thirty_cap,supply_gap_simple,prev_supply_gap_simple,gated_entries_complex,supply_gap_complex
0,Red Line,2022-01-01,21574.34,46.9,0.047,rain,0.0,9.152173913043478,852,2520,7797.652173913043,5755.409826086957,-243174.512,2863.77,24324.76,-240424.092
1,Red Line,2022-01-02,26362.27,43.0,0.229,rain,0.0,12.75,852,2520,10863.0,8017.928340909091,-326426.577,354.916,26717.186,-326071.661
2,Red Line,2022-01-03,50630.95,26.9,0.0,snow,0.1,16.395833333333332,852,2520,13969.25,10310.636791666666,-444279.616,3725.0660000000003,54356.016,-440554.55
3,Red Line,2022-01-04,55455.94,24.0,0.0,,0.0,17.340425531914892,852,2520,14774.04255319149,10904.650361702128,-457062.627,1829.0819999999999,57285.022,-455233.545
4,Red Line,2022-01-05,56807.81,40.9,0.126,rain,0.0,18.085106382978722,852,2520,15408.510638297872,11372.948276595745,-477720.759,2278.4049999999997,59086.215000000004,-475442.354
5,Red Line,2022-01-06,59684.18,37.5,0.0,"rain,snow",0.2,17.148936170212767,852,2520,14610.893617021276,10784.230936170212,-447174.674,9260.028,68944.208,-437914.646
6,Red Line,2022-01-07,36378.29,29.7,0.419,"rain,snow",3.4,16.934782608695652,852,2520,14428.434782608696,10649.55895652174,-453501.422,0.0,36378.29,-453501.422
7,Red Line,2022-01-08,32484.93,22.4,0.0,,0.0,14.0,852,2520,11928.0,8803.999808510638,-381303.061,268.716,32753.646,-381034.345
8,Red Line,2022-01-09,24027.07,35.0,0.012,rain,0.0,12.911111111111111,852,2520,11000.266666666666,8119.244177777778,-341338.918,0.0,24027.07,-341338.918
9,Red Line,2022-01-10,54340.55,29.5,0.0,,0.0,16.76595744680851,852,2520,14284.595744680852,10543.39195744681,-441198.872,6019.313,60359.863,-435179.559
10,Red Line,2022-01-11,44051.31,12.8,0.0,snow,0.0,17.51063829787234,852,2520,14919.063829787234,11011.689893617022,-473498.115,505.028,44556.337999999996,-472993.087
11,Red Line,2022-01-12,58725.37,27.8,0.0,,0.0,17.270833333333332,852,2520,14714.75,10860.886812499999,-462597.197,4294.4619999999995,63019.832,-458302.735
12,Red Line,2022-01-13,64491.53,36.4,0.0,,0.0,17.020833333333332,852,2520,14501.75,10703.672625000001,-449284.756,3738.965,68230.495,-445545.791
13,Red Line,2022-01-14,62093.12,34.5,0.0,,0.0,17.5625,852,2520,14963.25,11044.303604166666,-468033.453,1378.3110000000001,63471.431000000004,-466655.142
14,Red Line,2022-01-15,29531.93,9.8,0.0,,0.0,14.354166666666666,852,2520,12229.75,9026.720083333334,-403750.634,0.0,29531.93,-403750.634
15,Red Line,2022-01-16,28064.68,16.6,0.0,,0.0,13.395833333333334,852,2520,11413.25,8424.065208333333,-376290.45,102.043,28166.723,-376188.407
16,Red Line,2022-01-17,34171.0,40.3,0.744,rain,0.0,13.808510638297872,852,2520,11764.851063829787,8683.58029787234,-373957.274,141.106,34312.106,-373816.168
17,Red Line,2022-01-18,63861.9,28.3,0.0,,0.0,17.21276595744681,852,2520,14665.27659574468,10824.370638297873,-444883.52,8797.366,72659.266,-436086.154
18,Red Line,2022-01-19,66526.51,33.6,0.0,,0.0,17.375,852,2520,14803.5,10926.392854166666,-457940.347,10381.587,76908.097,-447558.76
19,Red Line,2022-01-20,66818.63,33.9,0.15,rain,0.2,17.617021276595743,852,2520,15009.702127659575,11078.589553191488,-453875.079,9555.489,76374.119,-444319.59
20,Red Line,2022-01-21,65154.83,16.1,0.0,,0.0,17.333333333333332,852,2520,14768.0,10900.190416666666,-458054.31,6634.956,71789.78600000001,-451419.354
