,route_or_line,time,gated_entries,temp,precip,preciptype,snow
0,Green Line,2022-01-01 00:00:00,121.0,46.9,0.047,rain,0.0
1,Green Line,2022-01-01 00:30:00,58.94,46.9,0.047,rain,0.0
2,Green Line,2022-01-01 01:00:00,12.48,46.9,0.047,rain,0.0
3,Green Line,2022-01-01 01:30:00,2.02,46.9,0.047,rain,0.0
4,Green Line,2022-01-01 05:00:00,18.7,46.9,0.047,rain,0.0
5,Green Line,2022-01-01 05:30:00,47.21,46.9,0.047,rain,0.0
6,Green Line,2022-01-01 06:00:00,76.35,46.9,0.047,rain,0.0
7,Green Line,2022-01-01 06:30:00,85.19,46.9,0.047,rain,0.0
8,Green Line,2022-01-01 07:00:00,111.17,46.9,0.047,rain,0.0
9,Green Line,2022-01-01 07:30:00,111.97,46.9,0.047,rain,0.0
10,Green Line,2022-01-01 08:00:00,88.55,46.9,0.047,rain,0.0
11,Green Line,2022-01-01 08:30:00,110.1,46.9,0.047,rain,0.0
12,Green Line,2022-01-01 09:00:00,138.91,46.9,0.047,rain,0.0
13,Green Line,2022-01-01 09:30:00,159.1,46.9,0.047,rain,0.0
14,Green Line,2022-01-01 10:00:00,210.93,46.9,0.047,rain,0.0
15,Green Line,2022-01-01 10:30:00,270.77,46.9,0.047,rain,0.0
16,Green Line,2022-01-01 11:00:00,333.04,46.9,0.047,rain,0.0
17,Green Line,2022-01-01 11:30:00,376.93,46.9,0.047,rain,0.0
18,Green Line,2022-01-01 12:00:00,423.98,46.9,0.047,rain,0.0
19,Green Line,2022-01-01 12:30:00,438.26,46.9,0.047,rain,0.0
20,Green Line,2022-01-01 13:00:00,397.15,46.9,0.047,rain,0.0
21,Green Line,2022-01-01 13:30:00,386.35,46.9,0.047,rain,0.0
22,Green Line,2022-01-01 14:00:00,528.33,46.9,0.047,rain,0.0
23,Green Line,2022-01-01 14:30:00,585.98,46.9,0.047,rain,0.0
24,Green Line,2022-01-01 15:00:00,626.26,46.9,0.047,rain,0.0
25,Green Line,2022-01-01 15:30:00,799.38,46.9,0.047,rain,0.0
26,Green Line,2022-01-01 16:00:00,998.78,46.9,0.047,rain,0.0
27,Green Line,2022-01-01 16:30:00,687.05,46.9,0.047,rain,0.0
28,Green Line,2022-01-01 17:00:00,696.45,46.9,0.047,rain,0.0
29,Green Line,2022-01-01 17:30:00,629.44,46.9,0.047,rain,0.0
30,Green Line,2022-01-01 18:00:00,604.82,46.9,0.047,rain,0.0
31,Green Line,2022-01-01 18:30:00,520.37,46.9,0.047,rain,0.0
32,Green Line,2022-01-01 19:00:00,404.64,46.9,0.047,rain,0.0
33,Green Line,2022-01-01 19:30:00,430.26,46.9,0.047,rain,0.0
34,Green Line,2022-01-01 20:00:00,387.87,46.9,0.047,rain,0.0
35,Green Line,2022-01-01 20:30:00,330.6,46.9,0.047,rain,0.0
36,Green Line,2022-01-01 21:00:00,316.22,46.9,0.047,rain,0.0
37,Green Line,2022-01-01 21:30:00,342.91,46.9,0.047,rain,0.0
38,Green Line,2022-01-01 22:00:00,317.26,46.9,0.047,rain,0.0
39,Green Line,2022-01-01 22:30:00,328.83,46.9,0.047,rain,0.0
40,Green Line,2022-01-01 23:00:00,298.22,46.9,0.047,rain,0.0
41,Green Line,2022-01-01 23:30:00,187.13,46.9,0.047,rain,0.0
42,Green Line,2022-01-02 00:00:00,81.13,43.0,0.229,rain,0.0
43,Green Line,2022-01-02 00:30:00,28.42,43.0,0.229,rain,0.0
44,Green Line,2022-01-02 01:00:00,22.71,43.0,0.229,rain,0.0
45,Green Line,2022-01-02 01:30:00,7.01,43.0,0.229,rain,0.0
46,Green Line,2022-01-02 02:00:00,3.26,43.0,0.229,rain,0.0
47,Green Line,2022-01-02 02:30:00,2.0,43.0,0.229,rain,0.0
48,Green Line,2022-01-02 04:30:00,1.0,43.0,0.229,rain,0.0
49,Green Line,2022-01-02 05:00:00,12.0,43.0,0.229,rain,0.0
50,Green Line,2022-01-02 05:30:00,43.48,43.0,0.229,rain,0.0
51,Green Line,2022-01-02 06:00:00,93.87,43.0,0.229,rain,0.0
52,Green Line,2022-01-02 06:30:00,89.99,43.0,0.229,rain,0.0
53,Green Line,2022-01-02 07:00:00,113.99,43.0,0.229,rain,0.0
54,Green Line,2022-01-02 07:30:00,98.88,43.0,0.229,rain,0.0
55,Green Line,2022-01-02 08:00:00,128.57,43.0,0.229,rain,0.0
56,Green Line,2022-01-02 08:30:00,132.57,43.0,0.229,rain,0.0
57,Green Line,2022-01-02 09:00:00,197.38,43.0,0.229,rain,0.0
58,Green Line,2022-01-02 09:30:00,201.78,43.0,0.229,rain,0.0
59,Green Line,2022-01-02 10:00:00,245.1,43.0,0.229,rain,0.0
60,Green Line,2022-01-02 10:30:00,295.33,43.0,0.229,rain,0.0
61,Green Line,2022-01-02 11:00:00,308.54,43.0,0.229,rain,0.0
62,Green Line,2022-01-02 11:30:00,376.68,43.0,0.229,rain,0.0
63,Green Line,2022-01-02 12:00:00,423.0,43.0,0.229,rain,0.0
64,Green Line,2022-01-02 12:30:00,471.29,43.0,0.229,rain,0.0
65,Green Line,2022-01-02 13:00:00,541.83,43.0,0.229,rain,0.0
66,Green Line,2022-01-02 13:30:00,504.9,43.0,0.229,rain,0.0
67,Green Line,2022-01-02 14:00:00,624.82,43.0,0.229,rain,0.0
68,Green Line,2022-01-02 14:30:00,595.49,43.0,0.229,rain,0.0
69,Green Line,2022-01-02 15:00:00,709.27,43.0,0.229,rain,0.0
70,Green Line,2022-01-02 15:30:00,738.29,43.0,0.229,rain,0.0
71,Green Line,2022-01-02 16:00:00,828.8,43.0,0.229,rain,0.0
72,Green Line,2022-01-02 16:30:00,737.19,43.0,0.229,rain,0.0
73,Green Line,2022-01-02 17:00:00,811.41,43.0,0.229,rain,0.0
74,Green Line,2022-01-02 17:30:00,669.69,43.0,0.229,rain,0.0
75,Green Line,2022-01-02 18:00:00,633.89,43.0,0.229,rain,0.0
76,Green Line,2022-01-02 18:30:00,514.83,43.0,0.229,rain,0.0
77,Green Line,2022-01-02 19:00:00,421.72,43.0,0.229,rain,0.0
78,Green Line,2022-01-02 19:30:00,404.46,43.0,0.229,rain,0.0
79,Green Line,2022-01-02 20:00:00,381.83,43.0,0.229,rain,0.0
80,Green Line,2022-01-02 20:30:00,449.88,43.0,0.229,rain,0.0
81,Green Line,2022-01-02 21:00:00,594.93,43.0,0.229,rain,0.0
82,Green Line,2022-01-02 21:30:00,320.39,43.0,0.229,rain,0.0
83,Green Line,2022-01-02 22:00:00,239.83,43.0,0.229,rain,0.0
84,Green Line,2022-01-02 22:30:00,202.57,43.0,0.229,rain,0.0
85,Green Line,2022-01-02 23:00:00,186.26,43.0,0.229,rain,0.0
86,Green Line,2022-01-02 23:30:00,130.02,43.0,0.229,rain,0.0
87,Green Line,2022-01-03 00:00:00,67.42,26.9,0.0,snow,0.1
88,Green Line,2022-01-03 00:30:00,21.56,26.9,0.0,snow,0.1
89,Green Line,2022-01-03 01:00:00,12.48,26.9,0.0,snow,0.1
90,Green Line,2022-01-03 01:30:00,5.82,26.9,0.0,snow,0.1
91,Green Line,2022-01-03 02:00:00,1.58,26.9,0.0,snow,0.1
92,Green Line,2022-01-03 02:30:00,1.92,26.9,0.0,snow,0.1
93,Green Line,2022-01-03 03:00:00,2.58,26.9,0.0,snow,0.1
94,Green Line,2022-01-03 03:30:00,1.82,26.9,0.0,snow,0.1
95,Green Line,2022-01-03 04:00:00,1.8,26.9,0.0,snow,0.1
96,Green Line,2022-01-03 04:30:00,24.04,26.9,0.0,snow,0.1
97,Green Line,2022-01-03 05:00:00,81.3,26.9,0.0,snow,0.1
98,Green Line,2022-01-03 05:30:00,136.05,26.9,0.0,snow,0.1
99,Green Line,2022-01-03 06:00:00,271.8,26.9,0.0,snow,0.1
100,Green Line,2022-01-03 06:30:00,280.4,26.9,0.0,snow,0.1
101,Green Line,2022-01-03 07:00:00,380.63,26.9,0.0,snow,0.1
102,Green Line,2022-01-03 07:30:00,375.02,26.9,0.0,snow,0.1
103,Green Line,2022-01-03 08:00:00,465.28,26.9,0.0,snow,0.1
104,Green Line,2022-01-03 08:30:00,431.79,26.9,0.0,snow,0.1
105,Green Line,2022-01-03 09:00:00,367.93,26.9,0.0,snow,0.1
106,Green Line,2022-01-03 09:30:00,359.3,26.9,0.0,snow,0.1
107,Green Line,2022-01-03 10:00:00,360.27,26.9,0.0,snow,0.1
108,Green Line,2022-01-03 10:30:00,399.17,26.9,0.0,snow,0.1
109,Green Line,2022-01-03 11:00:00,437.95,26.9,0.0,snow,0.1
110,Green Line,2022-01-03 11:30:00,441.62,26.9,0.0,snow,0.1
111,Green Line,2022-01-03 12:00:00,541.5,26.9,0.0,snow,0.1
112,Green Line,2022-01-03 12:30:00,543.77,26.9,0.0,snow,0.1
113,Green Line,2022-01-03 13:00:00,603.15,26.9,0.0,snow,0.1
114,Green Line,2022-01-03 13:30:00,679.69,26.9,0.0,snow,0.1
115,Green Line,2022-01-03 14:00:00,779.58,26.9,0.0,snow,0.1
116,Green Line,2022-01-03 14:30:00,824.26,26.9,0.0,snow,0.1
117,Green Line,2022-01-03 15:00:00,1043.19,26.9,0.0,snow,0.1
118,Green Line,2022-01-03 15:30:00,956.96,26.9,0.0,snow,0.1
119,Green Line,2022-01-03 16:00:00,1164.65,26.9,0.0,snow,0.1
120,Green Line,2022-01-03 16:30:00,1188.21,26.9,0.0,snow,0.1
121,Green Line,2022-01-03 17:00:00,1471.39,26.9,0.0,snow,0.1
122,Green Line,2022-01-03 17:30:00,1006.78,26.9,0.0,snow,0.1
123,Green Line,2022-01-03 18:00:00,790.96,26.9,0.0,snow,0.1
124,Green Line,2022-01-03 18:30:00,640.49,26.9,0.0,snow,0.1
125,Green Line,2022-01-03 19:00:00,603.95,26.9,0.0,snow,0.1
126,Green Line,2022-01-03 19:30:00,426.88,26.9,0.0,snow,0.1
127,Green Line,2022-01-03 20:00:00,409.09,26.9,0.0,snow,0.1
128,Green Line,2022-01-03 20:30:00,295.22,26.9,0.0,snow,0.1
129,Green Line,2022-01-03 21:00:00,292.73,26.9,0.0,snow,0.1
130,Green Line,2022-01-03 21:30:00,299.68,26.9,0.0,snow,0.1
131,Green Line,2022-01-03 22:00:00,260.02,26.9,0.0,snow,0.1
132,Green Line,2022-01-03 22:30:00,206.76,26.9,0.0,snow,0.1
133,Green Line,2022-01-03 23:00:00,207.01,26.9,0.0,snow,0.1
134,Green Line,2022-01-03 23:30:00,117.46,26.9,0.0,snow,0.1
135,Green Line,2022-01-04 00:00:00,63.66,24.0,0.0,,0.0
136,Green Line,2022-01-04 00:30:00,31.66,24.0,0.0,,0.0
137,Green Line,2022-01-04 01:00:00,11.76,24.0,0.0,,0.0
138,Green Line,2022-01-04 01:30:00,6.43,24.0,0.0,,0.0
139,Green Line,2022-01-04 02:00:00,0.34,24.0,0.0,,0.0
140,Green Line,2022-01-04 03:00:00,0.68,24.0,0.0,,0.0
141,Green Line,2022-01-04 03:30:00,0.34,24.0,0.0,,0.0
142,Green Line,2022-01-04 04:00:00,0.83,24.0,0.0,,0.0
143,Green Line,2022-01-04 04:30:00,16.37,24.0,0.0,,0.0
144,Green Line,2022-01-04 05:00:00,78.73,24.0,0.0,,0.0
145,Green Line,2022-01-04 05:30:00,147.94,24.0,0.0,,0.0
146,Green Line,2022-01-04 06:00:00,284.63,24.0,0.0,,0.0
147,Green Line,2022-01-04 06:30:00,309.36,24.0,0.0,,0.0
148,Green Line,2022-01-04 07:00:00,528.75,24.0,0.0,,0.0
149,Green Line,2022-01-04 07:30:00,494.12,24.0,0.0,,0.0
150,Green Line,2022-01-04 08:00:00,557.02,24.0,0.0,,0.0
151,Green Line,2022-01-04 08:30:00,444.16,24.0,0.0,,0.0
152,Green Line,2022-01-04 09:00:00,352.25,24.0,0.0,,0.0
