,route_or_line,time,gated_entries,temp,precip,preciptype,snow
0,Orange Line,2022-01-01 00:00:00,165.55,46.9,0.047,rain,0.0
1,Orange Line,2022-01-01 00:30:00,53.49,46.9,0.047,rain,0.0
2,Orange Line,2022-01-01 01:00:00,19.43,46.9,0.047,rain,0.0
3,Orange Line,2022-01-01 01:30:00,10.96,46.9,0.047,rain,0.0
4,Orange Line,2022-01-01 05:00:00,15.56,46.9,0.047,rain,0.0
5,Orange Line,2022-01-01 05:30:00,197.05,46.9,0.047,rain,0.0
6,Orange Line,2022-01-01 06:00:00,337.52,46.9,0.047,rain,0.0
7,Orange Line,2022-01-01 06:30:00,310.4,46.9,0.047,rain,0.0
8,Orange Line,2022-01-01 07:00:00,366.47,46.9,0.047,rain,0.0
9,Orange Line,2022-01-01 07:30:00,321.05,46.9,0.047,rain,0.0
10,Orange Line,2022-01-01 08:00:00,362.35,46.9,0.047,rain,0.0
11,Orange Line,2022-01-01 08:30:00,337.96,46.9,0.047,rain,0.0
12,Orange Line,2022-01-01 09:00:00,417.75,46.9,0.047,rain,0.0
13,Orange Line,2022-01-01 09:30:00,453.29,46.9,0.047,rain,0.0
14,Orange Line,2022-01-01 10:00:00,564.68,46.9,0.047,rain,0.0
15,Orange Line,2022-01-01 10:30:00,544.93,46.9,0.047,rain,0.0
16,Orange Line,2022-01-01 11:00:00,633.39,46.9,0.047,rain,0.0
17,Orange Line,2022-01-01 11:30:00,776.87,46.9,0.047,rain,0.0
18,Orange Line,2022-01-01 12:00:00,866.18,46.9,0.047,rain,0.0
19,Orange Line,2022-01-01 12:30:00,809.41,46.9,0.047,rain,0.0
20,Orange Line,2022-01-01 13:00:00,711.94,46.9,0.047,rain,0.0
21,Orange Line,2022-01-01 13:30:00,866.8,46.9,0.047,rain,0.0
22,Orange Line,2022-01-01 14:00:00,833.19,46.9,0.047,rain,0.0
23,Orange Line,2022-01-01 14:30:00,905.09,46.9,0.047,rain,0.0
24,Orange Line,2022-01-01 15:00:00,1079.2,46.9,0.047,rain,0.0
25,Orange Line,2022-01-01 15:30:00,1272.86,46.9,0.047,rain,0.0
26,Orange Line,2022-01-01 16:00:00,1562.52,46.9,0.047,rain,0.0
27,Orange Line,2022-01-01 16:30:00,1059.49,46.9,0.047,rain,0.0
28,Orange Line,2022-01-01 17:00:00,961.08,46.9,0.047,rain,0.0
29,Orange Line,2022-01-01 17:30:00,868.4,46.9,0.047,rain,0.0
30,Orange Line,2022-01-01 18:00:00,799.81,46.9,0.047,rain,0.0
31,Orange Line,2022-01-01 18:30:00,710.12,46.9,0.047,rain,0.0
32,Orange Line,2022-01-01 19:00:00,638.49,46.9,0.047,rain,0.0
33,Orange Line,2022-01-01 19:30:00,552.65,46.9,0.047,rain,0.0
34,Orange Line,2022-01-01 20:00:00,503.31,46.9,0.047,rain,0.0
35,Orange Line,2022-01-01 20:30:00,462.07,46.9,0.047,rain,0.0
36,Orange Line,2022-01-01 21:00:00,435.62,46.9,0.047,rain,0.0
37,Orange Line,2022-01-01 21:30:00,480.67,46.9,0.047,rain,0.0
38,Orange Line,2022-01-01 22:00:00,429.7,46.9,0.047,rain,0.0
39,Orange Line,2022-01-01 22:30:00,439.66,46.9,0.047,rain,0.0
40,Orange Line,2022-01-01 23:00:00,372.55,46.9,0.047,rain,0.0
41,Orange Line,2022-01-01 23:30:00,299.05,46.9,0.047,rain,0.0
42,Orange Line,2022-01-02 00:00:00,81.39,43.0,0.229,rain,0.0
43,Orange Line,2022-01-02 00:30:00,45.89,43.0,0.229,rain,0.0
44,Orange Line,2022-01-02 01:00:00,24.03,43.0,0.229,rain,0.0
45,Orange Line,2022-01-02 01:30:00,14.15,43.0,0.229,rain,0.0
46,Orange Line,2022-01-02 02:00:00,8.32,43.0,0.229,rain,0.0
47,Orange Line,2022-01-02 02:30:00,2.0,43.0,0.229,rain,0.0
48,Orange Line,2022-01-02 04:00:00,1.8,43.0,0.229,rain,0.0
49,Orange Line,2022-01-02 05:00:00,15.7,43.0,0.229,rain,0.0
50,Orange Line,2022-01-02 05:30:00,204.03,43.0,0.229,rain,0.0
51,Orange Line,2022-01-02 06:00:00,419.5,43.0,0.229,rain,0.0
52,Orange Line,2022-01-02 06:30:00,320.93,43.0,0.229,rain,0.0
53,Orange Line,2022-01-02 07:00:00,372.89,43.0,0.229,rain,0.0
54,Orange Line,2022-01-02 07:30:00,359.5,43.0,0.229,rain,0.0
55,Orange Line,2022-01-02 08:00:00,427.6,43.0,0.229,rain,0.0
56,Orange Line,2022-01-02 08:30:00,383.86,43.0,0.229,rain,0.0
57,Orange Line,2022-01-02 09:00:00,520.21,43.0,0.229,rain,0.0
58,Orange Line,2022-01-02 09:30:00,607.91,43.0,0.229,rain,0.0
59,Orange Line,2022-01-02 10:00:00,701.67,43.0,0.229,rain,0.0
60,Orange Line,2022-01-02 10:30:00,655.27,43.0,0.229,rain,0.0
61,Orange Line,2022-01-02 11:00:00,734.14,43.0,0.229,rain,0.0
62,Orange Line,2022-01-02 11:30:00,851.19,43.0,0.229,rain,0.0
63,Orange Line,2022-01-02 12:00:00,830.4,43.0,0.229,rain,0.0
64,Orange Line,2022-01-02 12:30:00,871.29,43.0,0.229,rain,0.0
65,Orange Line,2022-01-02 13:00:00,982.18,43.0,0.229,rain,0.0
66,Orange Line,2022-01-02 13:30:00,1024.82,43.0,0.229,rain,0.0
67,Orange Line,2022-01-02 14:00:00,990.75,43.0,0.229,rain,0.0
68,Orange Line,2022-01-02 14:30:00,1114.26,43.0,0.229,rain,0.0
69,Orange Line,2022-01-02 15:00:00,1189.47,43.0,0.229,rain,0.0
70,Orange Line,2022-01-02 15:30:00,1131.94,43.0,0.229,rain,0.0
71,Orange Line,2022-01-02 16:00:00,1234.48,43.0,0.229,rain,0.0
72,Orange Line,2022-01-02 16:30:00,1153.0,43.0,0.229,rain,0.0
73,Orange Line,2022-01-02 17:00:00,1203.68,43.0,0.229,rain,0.0
74,Orange Line,2022-01-02 17:30:00,935.39,43.0,0.229,rain,0.0
75,Orange Line,2022-01-02 18:00:00,896.77,43.0,0.229,rain,0.0
76,Orange Line,2022-01-02 18:30:00,707.49,43.0,0.229,rain,0.0
77,Orange Line,2022-01-02 19:00:00,614.62,43.0,0.229,rain,0.0
78,Orange Line,2022-01-02 19:30:00,567.23,43.0,0.229,rain,0.0
79,Orange Line,2022-01-02 20:00:00,647.7,43.0,0.229,rain,0.0
80,Orange Line,2022-01-02 20:30:00,771.03,43.0,0.229,rain,0.0
81,Orange Line,2022-01-02 21:00:00,1043.38,43.0,0.229,rain,0.0
82,Orange Line,2022-01-02 21:30:00,510.61,43.0,0.229,rain,0.0
83,Orange Line,2022-01-02 22:00:00,402.89,43.0,0.229,rain,0.0
84,Orange Line,2022-01-02 22:30:00,291.39,43.0,0.229,rain,0.0
85,Orange Line,2022-01-02 23:00:00,268.6,43.0,0.229,rain,0.0
86,Orange Line,2022-01-02 23:30:00,182.4,43.0,0.229,rain,0.0
87,Orange Line,2022-01-03 00:00:00,111.36,26.9,0.0,snow,0.1
88,Orange Line,2022-01-03 00:30:00,42.53,26.9,0.0,snow,0.1
89,Orange Line,2022-01-03 01:00:00,13.97,26.9,0.0,snow,0.1
90,Orange Line,2022-01-03 01:30:00,15.96,26.9,0.0,snow,0.1
91,Orange Line,2022-01-03 02:00:00,8.32,26.9,0.0,snow,0.1
92,Orange Line,2022-01-03 02:30:00,3.88,26.9,0.0,snow,0.1
93,Orange Line,2022-01-03 03:00:00,4.0,26.9,0.0,snow,0.1
94,Orange Line,2022-01-03 03:30:00,5.26,26.9,0.0,snow,0.1
95,Orange Line,2022-01-03 04:00:00,6.0,26.9,0.0,snow,0.1
96,Orange Line,2022-01-03 04:30:00,68.4,26.9,0.0,snow,0.1
97,Orange Line,2022-01-03 05:00:00,562.43,26.9,0.0,snow,0.1
98,Orange Line,2022-01-03 05:30:00,705.66,26.9,0.0,snow,0.1
99,Orange Line,2022-01-03 06:00:00,1282.31,26.9,0.0,snow,0.1
100,Orange Line,2022-01-03 06:30:00,1263.72,26.9,0.0,snow,0.1
101,Orange Line,2022-01-03 07:00:00,1560.88,26.9,0.0,snow,0.1
102,Orange Line,2022-01-03 07:30:00,1742.07,26.9,0.0,snow,0.1
103,Orange Line,2022-01-03 08:00:00,1882.47,26.9,0.0,snow,0.1
104,Orange Line,2022-01-03 08:30:00,1463.17,26.9,0.0,snow,0.1
105,Orange Line,2022-01-03 09:00:00,1188.19,26.9,0.0,snow,0.1
106,Orange Line,2022-01-03 09:30:00,1053.64,26.9,0.0,snow,0.1
107,Orange Line,2022-01-03 10:00:00,946.82,26.9,0.0,snow,0.1
108,Orange Line,2022-01-03 10:30:00,1025.07,26.9,0.0,snow,0.1
109,Orange Line,2022-01-03 11:00:00,1008.4,26.9,0.0,snow,0.1
110,Orange Line,2022-01-03 11:30:00,1075.21,26.9,0.0,snow,0.1
111,Orange Line,2022-01-03 12:00:00,1220.79,26.9,0.0,snow,0.1
112,Orange Line,2022-01-03 12:30:00,1177.78,26.9,0.0,snow,0.1
113,Orange Line,2022-01-03 13:00:00,1141.93,26.9,0.0,snow,0.1
114,Orange Line,2022-01-03 13:30:00,1353.35,26.9,0.0,snow,0.1
115,Orange Line,2022-01-03 14:00:00,1603.08,26.9,0.0,snow,0.1
